"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"140","C1_S49_L004_contig_670",FALSE,FALSE,TRUE,FALSE
"141","C1_S49_L004_contig_7",TRUE,FALSE,FALSE,FALSE
"142","C1_S49_L004_contig_71",TRUE,FALSE,TRUE,FALSE
"143","C1_S49_L004_contig_73",TRUE,FALSE,FALSE,FALSE
"144","C1_S49_L004_contig_749",FALSE,FALSE,FALSE,TRUE
"145","C1_S49_L004_contig_750",TRUE,FALSE,TRUE,FALSE
"146","C1_S49_L004_contig_796",FALSE,FALSE,FALSE,TRUE
"147","C1_S49_L004_contig_801",FALSE,FALSE,FALSE,TRUE
"148","C1_S49_L004_contig_852",TRUE,FALSE,FALSE,FALSE
"149","C1_S49_L004_contig_88",FALSE,FALSE,TRUE,FALSE
"150","C1_S49_L004_contig_89",TRUE,FALSE,TRUE,FALSE
"151","C1_S49_L004_contig_919",TRUE,FALSE,FALSE,FALSE
"152","C1_S49_L004_contig_969",TRUE,FALSE,TRUE,FALSE
"153","C1_S49_L004_contig_980",FALSE,FALSE,FALSE,TRUE
"154","C1_S49_L004_contig_989",TRUE,FALSE,TRUE,FALSE
"155","C10_S58_L004_contig_1002",FALSE,FALSE,FALSE,TRUE
"156","C10_S58_L004_contig_1009",FALSE,FALSE,TRUE,FALSE
"157","C10_S58_L004_contig_1013",TRUE,FALSE,TRUE,FALSE
"158","C10_S58_L004_contig_1032",FALSE,FALSE,FALSE,TRUE
"159","C10_S58_L004_contig_1040",FALSE,FALSE,TRUE,FALSE
"160","C10_S58_L004_contig_113",TRUE,FALSE,TRUE,FALSE
"161","C10_S58_L004_contig_126",TRUE,FALSE,FALSE,FALSE
"162","C10_S58_L004_contig_13",TRUE,FALSE,FALSE,FALSE
"163","C10_S58_L004_contig_230",TRUE,FALSE,TRUE,FALSE
"164","C10_S58_L004_contig_451",FALSE,TRUE,FALSE,FALSE
"165","C10_S58_L004_contig_478",TRUE,FALSE,TRUE,FALSE
"166","C10_S58_L004_contig_517",TRUE,FALSE,TRUE,FALSE
"167","C10_S58_L004_contig_518",FALSE,FALSE,FALSE,TRUE
"168","C10_S58_L004_contig_580",TRUE,FALSE,TRUE,FALSE
"169","C10_S58_L004_contig_638",TRUE,FALSE,FALSE,FALSE
"170","C10_S58_L004_contig_697",FALSE,FALSE,TRUE,FALSE
"171","C10_S58_L004_contig_699",FALSE,TRUE,FALSE,TRUE
"172","C10_S58_L004_contig_888",TRUE,FALSE,TRUE,FALSE
"173","C10_S58_L004_contig_917",FALSE,FALSE,TRUE,FALSE
"174","C10_S58_L004_contig_918",FALSE,TRUE,FALSE,FALSE
"175","C10_S58_L004_contig_982",FALSE,FALSE,FALSE,TRUE
"176","C11_S59_L004_contig_103",FALSE,FALSE,FALSE,TRUE
"177","C11_S59_L004_contig_1169",FALSE,TRUE,FALSE,FALSE
"178","C11_S59_L004_contig_1177",FALSE,TRUE,FALSE,FALSE
"179","C11_S59_L004_contig_1189",TRUE,FALSE,FALSE,FALSE
"180","C11_S59_L004_contig_1254",TRUE,FALSE,TRUE,FALSE
"181","C11_S59_L004_contig_1287",TRUE,FALSE,TRUE,FALSE
"182","C11_S59_L004_contig_1406",TRUE,FALSE,FALSE,FALSE
"183","C11_S59_L004_contig_1413",TRUE,FALSE,FALSE,FALSE
"184","C11_S59_L004_contig_1430",TRUE,FALSE,FALSE,FALSE
"185","C11_S59_L004_contig_1439",TRUE,FALSE,TRUE,FALSE
"186","C11_S59_L004_contig_1450",FALSE,TRUE,FALSE,FALSE
"187","C11_S59_L004_contig_1462",TRUE,FALSE,FALSE,FALSE
"188","C11_S59_L004_contig_149",TRUE,FALSE,FALSE,FALSE
"189","C11_S59_L004_contig_239",TRUE,FALSE,FALSE,FALSE
"190","C11_S59_L004_contig_288",TRUE,FALSE,FALSE,FALSE
"191","C11_S59_L004_contig_297",TRUE,FALSE,FALSE,FALSE
"192","C11_S59_L004_contig_337",FALSE,FALSE,FALSE,TRUE
"193","C11_S59_L004_contig_474",TRUE,FALSE,FALSE,FALSE
"194","C11_S59_L004_contig_604",FALSE,TRUE,FALSE,TRUE
"195","C11_S59_L004_contig_646",FALSE,FALSE,TRUE,FALSE
"196","C11_S59_L004_contig_72",FALSE,FALSE,FALSE,TRUE
"197","C11_S59_L004_contig_750",FALSE,TRUE,FALSE,TRUE
"198","C11_S59_L004_contig_805",TRUE,FALSE,FALSE,FALSE
"199","C11_S59_L004_contig_840",TRUE,FALSE,FALSE,FALSE
"200","C11_S59_L004_contig_871",TRUE,FALSE,FALSE,FALSE
"201","C11_S59_L004_contig_897",FALSE,FALSE,FALSE,TRUE
"202","C11_S59_L004_contig_92",FALSE,FALSE,FALSE,TRUE
"203","C11_S59_L004_contig_942",FALSE,FALSE,TRUE,FALSE
"204","C11_S59_L004_contig_949",FALSE,FALSE,FALSE,TRUE
"205","C12_S60_L004_contig_208",FALSE,TRUE,FALSE,TRUE
"206","C12_S60_L004_contig_38",FALSE,FALSE,TRUE,FALSE
"207","C12_S60_L004_contig_49",TRUE,FALSE,FALSE,FALSE
"208","C12_S60_L004_contig_675",FALSE,TRUE,FALSE,TRUE
"209","C12_S60_L004_contig_681",TRUE,FALSE,TRUE,FALSE
"210","C12_S60_L004_contig_811",TRUE,FALSE,FALSE,FALSE
"211","C12_S60_L004_contig_858",TRUE,FALSE,FALSE,FALSE
"212","C12_S60_L004_contig_901",TRUE,FALSE,FALSE,FALSE
"213","C2_S50_L004_contig_1001",FALSE,FALSE,TRUE,FALSE
"214","C2_S50_L004_contig_130",FALSE,TRUE,FALSE,FALSE
"215","C2_S50_L004_contig_1319",TRUE,FALSE,TRUE,FALSE
"216","C2_S50_L004_contig_1455",FALSE,TRUE,FALSE,FALSE
"217","C2_S50_L004_contig_1505",FALSE,FALSE,TRUE,FALSE
"218","C2_S50_L004_contig_1629",TRUE,FALSE,FALSE,FALSE
"219","C2_S50_L004_contig_1730",FALSE,FALSE,TRUE,FALSE
"220","C2_S50_L004_contig_1803",FALSE,FALSE,FALSE,TRUE
"221","C2_S50_L004_contig_1832",FALSE,FALSE,TRUE,FALSE
"222","C2_S50_L004_contig_2019",FALSE,FALSE,TRUE,FALSE
"223","C2_S50_L004_contig_2059",FALSE,FALSE,FALSE,TRUE
"224","C2_S50_L004_contig_2342",FALSE,FALSE,TRUE,FALSE
"225","C2_S50_L004_contig_2350",FALSE,FALSE,TRUE,FALSE
"226","C2_S50_L004_contig_2388",FALSE,FALSE,TRUE,FALSE
"227","C2_S50_L004_contig_2443",TRUE,FALSE,TRUE,FALSE
"228","C2_S50_L004_contig_2444",FALSE,FALSE,TRUE,FALSE
"229","C2_S50_L004_contig_2488",FALSE,FALSE,TRUE,FALSE
"230","C2_S50_L004_contig_256",FALSE,FALSE,FALSE,TRUE
"231","C2_S50_L004_contig_257",FALSE,TRUE,FALSE,FALSE
"232","C2_S50_L004_contig_2574",TRUE,FALSE,TRUE,FALSE
"233","C2_S50_L004_contig_2599",FALSE,TRUE,FALSE,FALSE
"234","C2_S50_L004_contig_260",FALSE,FALSE,TRUE,FALSE
"235","C2_S50_L004_contig_2692",FALSE,FALSE,TRUE,FALSE
"236","C2_S50_L004_contig_27",TRUE,FALSE,FALSE,FALSE
"237","C2_S50_L004_contig_2731",TRUE,FALSE,TRUE,FALSE
